screening_mode,policy,weighted_dest_aoi,weighted_dest_aoi_se,corr_w_c,weight_ratio,alignment,L,mu,lambda_link,nu_edge,kkt_regime,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,lambda_hat_min,lambda_hat_max,lambda_hat_sum,qd_iso2_relaxed_sum,qd_iso2_lambda_sum,N,weight_seed,channel_seed,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,gap_vs_iso_pct,gap_vs_iso_lambda_pct
full,Joint FGMW,76.62819881041254,1.3841179892691047,-0.848861535912691,10.0,aligned,3,0.08,0.0,4351.343841584399,edge-only,1.0,1.0,0.0,0.2568888888888889,0.08040740740740741,0.17677777777777778,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,0.02465874776667043,0.02465874776667043
full,iso1 + iso2,76.60930791440813,1.6714262165553826,-0.848861535912691,10.0,aligned,3,0.08,0.0,4351.343841584399,edge-only,1.0,1.0,0.0,0.24977777777777777,0.08040740740740741,0.16974074074074075,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,0.0,0.0
full,iso1 + iso2-lambda,76.60930791440813,1.6714262165553826,-0.848861535912691,10.0,aligned,3,0.08,0.0,4351.343841584399,edge-only,1.0,1.0,0.0,0.24977777777777777,0.08040740740740741,0.16974074074074075,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,0.0,0.0
full,Greedy,84.94351539179507,1.740904568441459,-0.848861535912691,10.0,aligned,3,0.08,0.0,4351.343841584399,edge-only,1.0,1.0,0.0,0.24666666666666667,0.08040740740740741,0.16644444444444442,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,10.878844495891205,10.878844495891205
full,Uniform,107.14189247764294,2.2304411619328195,-0.848861535912691,10.0,aligned,3,0.08,0.0,4351.343841584399,edge-only,1.0,0.9994074074074074,0.0005925925925925926,0.2517037037037037,0.08040740740740741,0.17151851851851851,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,39.85492806872421,39.85492806872421
full,Joint FGMW,54.30013450587358,0.8044162011691468,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9965925925925926,0.0034074074074074076,0.25796296296296295,0.12033333333333333,0.13796296296296298,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.12000000000002514,0.11999999999999508,8,7,11,10000,1000,3,20000,2000,3,0.3600388706030744,0.23769194278331351
full,iso1 + iso2,54.10533427142672,0.7741383109545473,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9986666666666667,0.0013333333333333333,0.24977777777777777,0.12040740740740741,0.12962962962962962,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.12000000000002514,0.11999999999999508,8,7,11,10000,1000,3,20000,2000,3,0.0,-0.12190801159164266
full,iso1 + iso2-lambda,54.17137351573163,0.7775042325527123,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9985185185185185,0.0014814814814814814,0.24977777777777777,0.12037037037037036,0.12966666666666665,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.12000000000002514,0.11999999999999508,8,7,11,10000,1000,3,20000,2000,3,0.12205680862005241,0.0
full,Greedy,62.64201747798956,0.8837709373363801,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9997407407407408,0.00025925925925925926,0.24666666666666667,0.12055555555555557,0.12640740740740744,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.12000000000002514,0.11999999999999508,8,7,11,10000,1000,3,20000,2000,3,15.777895694604549,15.636753164100625
full,Uniform,74.65494132186463,1.407823835390967,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9957037037037036,0.004296296296296296,0.2517037037037037,0.12018518518518519,0.13181481481481483,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.12000000000002514,0.11999999999999508,8,7,11,10000,1000,3,20000,2000,3,37.98074132089828,37.81253174277457
full,Joint FGMW,39.23075494248993,0.35180311966778555,-0.848861535912691,10.0,aligned,3,0.18,0.0,863.1350528385956,edge-only,1.0,0.9777407407407407,0.022259259259259256,0.25792592592592595,0.17555555555555555,0.08277777777777777,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.17999999999998573,0.1800000000000026,8,7,11,10000,1000,3,20000,2000,3,2.146776828289476,2.023484523016128
full,iso1 + iso2,38.40625828893017,0.39175351512094236,-0.848861535912691,10.0,aligned,3,0.18,0.0,863.1350528385956,edge-only,1.0,0.9731481481481481,0.026851851851851852,0.24977777777777777,0.17585185185185184,0.07429629629629629,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.17999999999998573,0.1800000000000026,8,7,11,10000,1000,3,20000,2000,3,0.0,-0.12070112156413737
full,iso1 + iso2-lambda,38.45267109421225,0.40296706846304897,-0.848861535912691,10.0,aligned,3,0.18,0.0,863.1350528385956,edge-only,1.0,0.9722592592592593,0.027740740740740743,0.24977777777777777,0.1756296296296296,0.07455555555555556,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.17999999999998573,0.1800000000000026,8,7,11,10000,1000,3,20000,2000,3,0.1208469852306715,0.0
full,Greedy,46.569217667366786,0.48023468963009375,-0.848861535912691,10.0,aligned,3,0.18,0.0,863.1350528385956,edge-only,1.0,0.9901111111111112,0.00988888888888889,0.24666666666666667,0.1782222222222222,0.06862962962962964,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.17999999999998573,0.1800000000000026,8,7,11,10000,1000,3,20000,2000,3,21.254242777379396,21.107887546403003
full,Uniform,53.51046595533747,0.8018048071669204,-0.848861535912691,10.0,aligned,3,0.18,0.0,863.1350528385956,edge-only,1.0,0.9626666666666667,0.037333333333333336,0.2517037037037037,0.17407407407407408,0.07796296296296297,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.17999999999998573,0.1800000000000026,8,7,11,10000,1000,3,20000,2000,3,39.3274646875996,39.15929487507479
full,Joint FGMW,29.845254702710363,0.39663685393776443,-0.848861535912691,10.0,aligned,3,0.25,122.29450519644888,0.0,link-only,1.0,0.8768518518518519,0.12314814814814816,0.24544444444444444,0.21707407407407406,0.028555555555555556,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.2499999999999695,0.24914814814814812,8,7,11,10000,1000,3,20000,2000,3,0.11017365466943208,-0.08707030473714683
full,iso1 + iso2,29.812409281859527,0.4444862068189298,-0.848861535912691,10.0,aligned,3,0.25,122.29450519644888,0.0,link-only,1.0,0.8841851851851851,0.11581481481481481,0.24977777777777777,0.221,0.02914814814814815,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.2499999999999695,0.24914814814814812,8,7,11,10000,1000,3,20000,2000,3,0.0,-0.19702688768374887
full,iso1 + iso2-lambda,29.871263703045443,0.46654412138254164,-0.848861535912691,10.0,aligned,3,0.25,122.29450519644888,0.0,link-only,1.0,0.8832592592592592,0.11674074074074074,0.24977777777777777,0.22066666666666665,0.02948148148148148,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.2499999999999695,0.24914814814814812,8,7,11,10000,1000,3,20000,2000,3,0.19741584998878015,0.0
full,Greedy,33.62355173843776,0.5495977147161138,-0.848861535912691,10.0,aligned,3,0.25,122.29450519644888,0.0,link-only,1.0,0.9184814814814813,0.08151851851851852,0.24666666666666667,0.22896296296296295,0.018074074074074076,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.2499999999999695,0.24914814814814812,8,7,11,10000,1000,3,20000,2000,3,12.783745253682888,12.5615309505964
full,Uniform,43.96390518563383,0.6882781050769825,-0.848861535912691,10.0,aligned,3,0.25,122.29450519644888,0.0,link-only,1.0,0.8702592592592593,0.12974074074074074,0.2517037037037037,0.21703703703703703,0.03492592592592592,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.2499999999999695,0.24914814814814812,8,7,11,10000,1000,3,20000,2000,3,47.468474520056006,47.17792197439443
full,Joint FGMW,23.66002420956667,0.06035245354282304,-0.848861535912691,10.0,aligned,3,0.4,124.74462547159055,0.0,link-only,1.0,0.6106296296296296,0.38937037037037037,0.244,0.24244444444444446,0.0017037037037037038,0.006425925925925925,0.05307407407407407,0.24914814814814812,0.400000000000009,0.24914814814814812,8,7,11,10000,1000,3,20000,2000,3,-0.40316038597378867,-0.42897219504279827
