config,network,policy,N,L,mu,weight_seed,channel_seed,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,w,p,corr_w_c,lambda_link,nu_edge,lambda_hat_min,lambda_hat_max,lambda_hat_sum,qd_iso2_relaxed_min,qd_iso2_relaxed_max,qd_iso2_relaxed_sum,qd_iso2_lambda_min,qd_iso2_lambda_max,qd_iso2_lambda_sum,weighted_dest_aoi,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,weighted_dest_aoi_se,gap_vs_iso_pct,gap_vs_iso_lambda_pct
det_aligned,det_aligned,Joint FGMW,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,0.0,610.8291412477847,0.0030488888888888887,0.09980444444444445,0.27759999999999996,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.0030488888888888887,0.08124610912071749,0.24999999999999317,47.009574074074074,1.0,0.9233888888888888,0.07661111111111112,0.2835185185185185,0.22918518518518516,0.054296296296296294,0.603550514627757,,1.6107008865812844
det_aligned,det_aligned,iso1 + iso2-lambda,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,0.0,610.8291412477847,0.0030488888888888887,0.09980444444444445,0.27759999999999996,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.0030488888888888887,0.08124610912071749,0.24999999999999317,46.264393084490735,1.0,0.9185740740740741,0.08142592592592592,0.27885185185185185,0.22837037037037036,0.05048148148148148,0.534614351859831,,0.0
det_aligned,det_aligned,Downstream-Aware MW,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,0.0,610.8291412477847,0.0030488888888888887,0.09980444444444445,0.27759999999999996,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.0030488888888888887,0.08124610912071749,0.24999999999999317,46.76152314814815,1.0,0.9277592592592593,0.07224074074074073,0.2802222222222222,0.23079629629629628,0.04942592592592593,0.6201820030648746,,1.0745414140622689
det_aligned,det_aligned,Greedy,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,0.0,610.8291412477847,0.0030488888888888887,0.09980444444444445,0.27759999999999996,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.0030488888888888887,0.08124610912071749,0.24999999999999317,72.8734035011574,1.0,0.7412037037037038,0.2587962962962963,0.18674074074074073,0.18514814814814815,0.0014814814814814814,0.7311624061631293,,57.51509669233472
det_aligned,det_aligned,SRP-iso,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,0.0,610.8291412477847,0.0030488888888888887,0.09980444444444445,0.27759999999999996,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.0030488888888888887,0.08124610912071749,0.24999999999999317,59.87189496527778,1.0,0.903537037037037,0.09646296296296297,0.2703333333333333,0.22466666666666665,0.045592592592592594,0.9157213919364747,,29.412472473023122
det_aligned,det_aligned,SRP-tandem-LB,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,0.0,610.8291412477847,0.0030488888888888887,0.09980444444444445,0.27759999999999996,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.0030488888888888887,0.08124610912071749,0.24999999999999317,61.40737760416667,0.9797222222222223,0.8744444444444444,0.12555555555555556,0.2503518518518519,0.21724074074074076,0.03311111111111111,0.7080378226080518,,32.73140207852923
det_conflict,det_conflict,Joint FGMW,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,285.4612617926905,0.0,0.009644444444444445,0.027982222222222224,0.16278222222222222,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.009644444444444445,0.027982222222222224,0.16278222222222222,59.148512152777776,1.0,0.6439074074074075,0.3560925925925926,0.1605,0.15955555555555556,0.0008518518518518519,0.4593431616182806,,-0.26753682367014475
det_conflict,det_conflict,iso1 + iso2-lambda,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,285.4612617926905,0.0,0.009644444444444445,0.027982222222222224,0.16278222222222222,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.009644444444444445,0.027982222222222224,0.16278222222222222,59.30718070023149,1.0,0.650537037037037,0.3494629629629629,0.16348148148148148,0.16246296296296298,0.0010555555555555557,0.1803347606878549,,0.0
det_conflict,det_conflict,Downstream-Aware MW,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,285.4612617926905,0.0,0.009644444444444445,0.027982222222222224,0.16278222222222222,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.009644444444444445,0.027982222222222224,0.16278222222222222,58.162300491898144,1.0,0.6312592592592593,0.36874074074074076,0.15662962962962965,0.15587037037037038,0.0007222222222222222,0.1497831837272142,,-1.930424267038
det_conflict,det_conflict,Greedy,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,285.4612617926905,0.0,0.009644444444444445,0.027982222222222224,0.16278222222222222,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.009644444444444445,0.027982222222222224,0.16278222222222222,70.12281090856482,1.0,0.7413518518518519,0.2586481481481482,0.1852962962962963,0.1840185185185185,0.0012407407407407408,0.3665662770019193,,18.236628483490037
det_conflict,det_conflict,SRP-iso,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,285.4612617926905,0.0,0.009644444444444445,0.027982222222222224,0.16278222222222222,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.009644444444444445,0.027982222222222224,0.16278222222222222,87.39409823495369,1.0,0.5789444444444444,0.42105555555555557,0.14974074074074073,0.1452037037037037,0.004537037037037037,0.4233720911525984,,47.35837583763709
det_conflict,det_conflict,SRP-tandem-LB,8,3,0.25,,,20000,2000,3,50000,5000,5,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,285.4612617926905,0.0,0.009644444444444445,0.027982222222222224,0.16278222222222222,0.007148232643724346,0.07522683192485391,0.25000000000001504,0.009644444444444445,0.027982222222222224,0.16278222222222222,86.9167795138889,1.0,0.5833333333333334,0.4166666666666667,0.14964814814814814,0.14572222222222223,0.003962962962962962,1.6290667795738223,,46.55355133674335
