mode,network,policy,L,mu,N,w,p,corr_w_c,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,lambda_hat_sum,qd_iso2_lambda_sum,lambda_link,nu_edge,weighted_dest_aoi,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,weighted_dest_aoi_se,final_upstream_debt,avg_upstream_debt,final_downstream_debt,avg_downstream_debt,gap_vs_iso_lambda_pct
full,det_aligned,SRP-iso,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.25000000000003747,0.0,610.8291412477847,59.878311776620365,1.0,0.9036296296296297,0.09637037037037037,0.2703333333333333,0.22466666666666665,0.045592592592592594,0.9100116039097573,,,,,29.441984860482684
full,det_aligned,SRP-tandem-LB,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.25000000000003747,0.0,610.8291412477847,61.40737760416667,0.9797222222222223,0.8744444444444444,0.12555555555555556,0.2503518518518519,0.21724074074074076,0.03311111111111111,0.7080378226080518,,,,,32.747444046411346
full,det_aligned,Joint FGMW,3,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.2773703703703704,150.69554704223992,0.0,34.17335040509259,1.0,0.6771666666666666,0.32283333333333336,0.27464814814814814,0.2704259259259259,0.004277777777777778,0.318840624465695,,,,,-0.444945887536885
full,det_aligned,iso1 + iso2-lambda,3,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.2773703703703704,150.69554704223992,0.0,34.326082899305554,1.0,0.6840185185185185,0.3159814814814815,0.27885185185185185,0.2731111111111111,0.00575925925925926,0.18751313865159902,,,,,0.0
full,det_aligned,Downstream-Aware MW,3,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.2773703703703704,150.69554704223992,0.0,34.19786472800926,1.0,0.6721666666666666,0.32783333333333325,0.27116666666666667,0.26764814814814814,0.003555555555555556,0.31271625474038534,46.46314331727812,35.756475528007165,76.78544969971955,52.73250724455236,-0.37352986553234047
full,det_aligned,Greedy,3,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.2773703703703704,150.69554704223992,0.0,59.336810185185186,1.0,0.46927777777777774,0.5307222222222222,0.18674074074074073,0.1867777777777778,0.0,0.2071226475072216,,,,,72.86216536634194
full,det_aligned,SRP-iso,3,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.2773703703703704,150.69554704223992,0.0,48.86025376157408,1.0,0.6637592592592593,0.3362407407407408,0.2703333333333333,0.2630925925925926,0.00725925925925926,0.4043890560015527,,,,,42.34147806757922
full,det_aligned,SRP-tandem-LB,3,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.2773703703703704,150.69554704223992,0.0,49.079240885416674,1.0,0.6600370370370371,0.33996296296296297,0.2692777777777778,0.2614444444444444,0.007851851851851853,0.19058185356499052,,,,,42.97943936507125
full,det_aligned,Joint FGMW,5,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.11999999999999932,0.0,2618.7241415390745,92.32003139467592,1.0,0.9833888888888889,0.016611111111111108,0.17964814814814814,0.11774074074074074,0.06175925925925926,0.25755917360444763,,,,,0.37172356110088955
full,det_aligned,iso1 + iso2-lambda,5,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.11999999999999932,0.0,2618.7241415390745,91.97812702546297,1.0,0.9811111111111112,0.01888888888888889,0.1782962962962963,0.11737037037037036,0.06083333333333333,0.1460361918805462,,,,,0.0
full,det_aligned,Downstream-Aware MW,5,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.11999999999999932,0.0,2618.7241415390745,92.13247685185185,1.0,0.981925925925926,0.018074074074074072,0.17657407407407408,0.11781481481481482,0.058666666666666666,0.3140973316471979,44.6596563207421,23.924755242516472,96.69248348088065,55.15194784250729,0.16781144754791644
full,det_aligned,Greedy,5,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.11999999999999932,0.0,2618.7241415390745,150.62065870949075,1.0,0.9631851851851851,0.03681481481481481,0.13683333333333333,0.11538888888888889,0.021333333333333333,2.240647748752645,,,,,63.757040483976546
full,det_aligned,SRP-iso,5,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.11999999999999932,0.0,2618.7241415390745,115.8831082175926,1.0,0.9752222222222221,0.024777777777777777,0.17385185185185184,0.11716666666666666,0.05668518518518518,0.9141998587119389,,,,,25.98985428950065
full,det_aligned,SRP-tandem-LB,5,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.11999999999999932,0.0,2618.7241415390745,127.5501484375,0.7117037037037037,0.8549814814814815,0.14501851851851852,0.12016666666666669,0.10253703703703704,0.017592592592592594,0.265998333652413,,,,,38.674435501594175
